sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_1,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_2,0.053,0.056,0.054
FAVITES_output_logSI_contemp_T200_N100_E1_3,0.545,0.600,0.571
FAVITES_output_logSI_contemp_T200_N100_E1_4,0.161,0.172,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_5,0.182,0.222,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_6,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_8,0.111,0.133,0.121
FAVITES_output_logSI_contemp_T200_N100_E1_9,0.250,0.286,0.267
FAVITES_output_logSI_contemp_T200_N100_E1_10,0.250,0.294,0.270
FAVITES_output_logSI_contemp_T200_N100_E1_11,0.562,0.562,0.562
FAVITES_output_logSI_contemp_T200_N100_E1_12,0.235,0.235,0.235
FAVITES_output_logSI_contemp_T200_N100_E1_13,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_14,0.250,0.278,0.263
FAVITES_output_logSI_contemp_T200_N100_E1_15,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_16,0.154,0.160,0.157
FAVITES_output_logSI_contemp_T200_N100_E1_17,0.212,0.241,0.226
FAVITES_output_logSI_contemp_T200_N100_E1_18,0.500,0.571,0.533
FAVITES_output_logSI_contemp_T200_N100_E1_19,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_20,0.304,0.333,0.318
FAVITES_output_logSI_contemp_T200_N100_E1_21,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_22,0.279,0.293,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_23,0.150,0.200,0.171
FAVITES_output_logSI_contemp_T200_N100_E1_24,0.233,0.269,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_25,0.162,0.188,0.174
FAVITES_output_logSI_contemp_T200_N100_E1_26,0.229,0.234,0.232
FAVITES_output_logSI_contemp_T200_N100_E1_27,0.241,0.292,0.264
FAVITES_output_logSI_contemp_T200_N100_E1_28,0.229,0.254,0.241
FAVITES_output_logSI_contemp_T200_N100_E1_29,0.182,0.222,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_30,0.217,0.236,0.226
FAVITES_output_logSI_contemp_T200_N100_E1_31,0.312,0.333,0.323
FAVITES_output_logSI_contemp_T200_N100_E1_32,0.500,0.667,0.571
FAVITES_output_logSI_contemp_T200_N100_E1_33,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_35,0.148,0.167,0.157
FAVITES_output_logSI_contemp_T200_N100_E1_36,0.103,0.115,0.109
FAVITES_output_logSI_contemp_T200_N100_E1_37,0.277,0.295,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_38,0.143,0.250,0.182
FAVITES_output_logSI_contemp_T200_N100_E1_39,0.077,0.111,0.091
FAVITES_output_logSI_contemp_T200_N100_E1_40,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_41,0.100,0.100,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_43,0.308,0.333,0.320
FAVITES_output_logSI_contemp_T200_N100_E1_44,0.217,0.263,0.238
FAVITES_output_logSI_contemp_T200_N100_E1_45,0.400,0.500,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_46,0.353,0.353,0.353
FAVITES_output_logSI_contemp_T200_N100_E1_47,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_48,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_49,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_51,0.156,0.179,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_52,0.214,0.240,0.226
FAVITES_output_logSI_contemp_T200_N100_E1_53,0.368,0.438,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_55,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_56,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_57,0.192,0.217,0.204
