sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_1,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_2,0.368,0.368,0.368
FAVITES_output_logSI_contemp_T200_N100_E1_3,0.182,0.182,0.182
FAVITES_output_logSI_contemp_T200_N100_E1_4,0.226,0.226,0.226
FAVITES_output_logSI_contemp_T200_N100_E1_5,0.212,0.212,0.212
FAVITES_output_logSI_contemp_T200_N100_E1_6,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_8,0.389,0.389,0.389
FAVITES_output_logSI_contemp_T200_N100_E1_9,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_10,0.450,0.450,0.450
FAVITES_output_logSI_contemp_T200_N100_E1_11,0.062,0.062,0.062
FAVITES_output_logSI_contemp_T200_N100_E1_12,0.059,0.059,0.059
FAVITES_output_logSI_contemp_T200_N100_E1_13,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_14,0.300,0.300,0.300
FAVITES_output_logSI_contemp_T200_N100_E1_15,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_16,0.231,0.231,0.231
FAVITES_output_logSI_contemp_T200_N100_E1_17,0.212,0.212,0.212
FAVITES_output_logSI_contemp_T200_N100_E1_18,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_19,0.667,0.667,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_20,0.261,0.261,0.261
FAVITES_output_logSI_contemp_T200_N100_E1_21,0.143,0.143,0.143
FAVITES_output_logSI_contemp_T200_N100_E1_22,0.047,0.047,0.047
FAVITES_output_logSI_contemp_T200_N100_E1_23,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_24,0.433,0.433,0.433
FAVITES_output_logSI_contemp_T200_N100_E1_25,0.216,0.216,0.216
FAVITES_output_logSI_contemp_T200_N100_E1_26,0.125,0.125,0.125
FAVITES_output_logSI_contemp_T200_N100_E1_27,0.172,0.172,0.172
FAVITES_output_logSI_contemp_T200_N100_E1_28,0.157,0.157,0.157
FAVITES_output_logSI_contemp_T200_N100_E1_29,0.273,0.273,0.273
FAVITES_output_logSI_contemp_T200_N100_E1_30,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_31,0.125,0.125,0.125
FAVITES_output_logSI_contemp_T200_N100_E1_32,0.750,0.750,0.750
FAVITES_output_logSI_contemp_T200_N100_E1_33,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_35,0.230,0.230,0.230
FAVITES_output_logSI_contemp_T200_N100_E1_36,0.448,0.448,0.448
FAVITES_output_logSI_contemp_T200_N100_E1_37,0.108,0.108,0.108
FAVITES_output_logSI_contemp_T200_N100_E1_38,0.571,0.571,0.571
FAVITES_output_logSI_contemp_T200_N100_E1_39,0.385,0.385,0.385
FAVITES_output_logSI_contemp_T200_N100_E1_40,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_41,0.100,0.100,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_43,0.154,0.154,0.154
FAVITES_output_logSI_contemp_T200_N100_E1_44,0.261,0.261,0.261
FAVITES_output_logSI_contemp_T200_N100_E1_45,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_46,0.059,0.059,0.059
FAVITES_output_logSI_contemp_T200_N100_E1_47,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_48,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_49,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_51,0.344,0.344,0.344
FAVITES_output_logSI_contemp_T200_N100_E1_52,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_53,0.263,0.263,0.263
FAVITES_output_logSI_contemp_T200_N100_E1_55,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_56,0.600,0.600,0.600
FAVITES_output_logSI_contemp_T200_N100_E1_57,0.346,0.346,0.346
FAVITES_output_logSI_contemp_T200_N100_E1_58,0.022,0.022,0.022
FAVITES_output_logSI_contemp_T200_N100_E1_59,0.222,0.222,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_60,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_61,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_62,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_63,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_64,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_65,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_66,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_67,0.278,0.278,0.278
FAVITES_output_logSI_contemp_T200_N100_E1_68,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_69,0.238,0.238,0.238
FAVITES_output_logSI_contemp_T200_N100_E1_70,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_71,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_72,0.067,0.067,0.067
FAVITES_output_logSI_contemp_T200_N100_E1_73,0.176,0.176,0.176
FAVITES_output_logSI_contemp_T200_N100_E1_74,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_75,0.045,0.045,0.045
FAVITES_output_logSI_contemp_T200_N100_E1_76,0.105,0.105,0.105
FAVITES_output_logSI_contemp_T200_N100_E1_77,0.471,0.471,0.471
FAVITES_output_logSI_contemp_T200_N100_E1_78,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_79,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_80,0.309,0.309,0.309
FAVITES_output_logSI_contemp_T200_N100_E1_81,0.556,0.556,0.556
