sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_1,0.750,0.300,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_2,0.737,0.081,0.147
FAVITES_output_logSI_contemp_T200_N100_E1_3,0.818,0.161,0.269
FAVITES_output_logSI_contemp_T200_N100_E1_4,0.903,0.064,0.120
FAVITES_output_logSI_contemp_T200_N100_E1_5,0.879,0.076,0.139
FAVITES_output_logSI_contemp_T200_N100_E1_6,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_8,0.500,0.073,0.128
FAVITES_output_logSI_contemp_T200_N100_E1_9,0.750,0.207,0.324
FAVITES_output_logSI_contemp_T200_N100_E1_10,0.450,0.070,0.122
FAVITES_output_logSI_contemp_T200_N100_E1_11,0.750,0.088,0.158
FAVITES_output_logSI_contemp_T200_N100_E1_12,0.647,0.072,0.129
FAVITES_output_logSI_contemp_T200_N100_E1_13,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_14,0.950,0.110,0.197
FAVITES_output_logSI_contemp_T200_N100_E1_15,0.667,0.333,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_16,0.846,0.067,0.125
FAVITES_output_logSI_contemp_T200_N100_E1_17,0.970,0.073,0.136
FAVITES_output_logSI_contemp_T200_N100_E1_18,0.625,0.172,0.270
FAVITES_output_logSI_contemp_T200_N100_E1_19,0.667,0.333,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_20,0.783,0.077,0.141
FAVITES_output_logSI_contemp_T200_N100_E1_21,0.571,0.143,0.229
FAVITES_output_logSI_contemp_T200_N100_E1_22,0.930,0.049,0.092
FAVITES_output_logSI_contemp_T200_N100_E1_23,0.950,0.170,0.288
FAVITES_output_logSI_contemp_T200_N100_E1_24,0.833,0.070,0.130
FAVITES_output_logSI_contemp_T200_N100_E1_25,0.757,0.053,0.098
FAVITES_output_logSI_contemp_T200_N100_E1_26,0.896,0.038,0.073
FAVITES_output_logSI_contemp_T200_N100_E1_27,0.690,0.061,0.112
FAVITES_output_logSI_contemp_T200_N100_E1_28,0.971,0.036,0.069
FAVITES_output_logSI_contemp_T200_N100_E1_29,0.727,0.170,0.276
FAVITES_output_logSI_contemp_T200_N100_E1_30,0.817,0.032,0.061
FAVITES_output_logSI_contemp_T200_N100_E1_31,0.562,0.074,0.131
FAVITES_output_logSI_contemp_T200_N100_E1_32,0.750,0.429,0.545
FAVITES_output_logSI_contemp_T200_N100_E1_33,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_35,0.770,0.035,0.067
FAVITES_output_logSI_contemp_T200_N100_E1_36,0.724,0.074,0.135
FAVITES_output_logSI_contemp_T200_N100_E1_37,0.892,0.032,0.061
FAVITES_output_logSI_contemp_T200_N100_E1_38,0.714,0.455,0.556
FAVITES_output_logSI_contemp_T200_N100_E1_39,0.462,0.162,0.240
FAVITES_output_logSI_contemp_T200_N100_E1_40,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_41,0.800,0.145,0.246
FAVITES_output_logSI_contemp_T200_N100_E1_43,0.846,0.139,0.239
FAVITES_output_logSI_contemp_T200_N100_E1_44,0.870,0.103,0.184
FAVITES_output_logSI_contemp_T200_N100_E1_45,0.800,0.364,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_46,0.706,0.078,0.141
FAVITES_output_logSI_contemp_T200_N100_E1_47,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_48,0.667,0.333,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_49,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_51,0.844,0.066,0.122
FAVITES_output_logSI_contemp_T200_N100_E1_52,0.643,0.055,0.101
FAVITES_output_logSI_contemp_T200_N100_E1_53,0.789,0.108,0.190
FAVITES_output_logSI_contemp_T200_N100_E1_55,0.333,0.125,0.182
FAVITES_output_logSI_contemp_T200_N100_E1_56,0.800,0.364,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_57,0.808,0.075,0.138
FAVITES_output_logSI_contemp_T200_N100_E1_58,0.889,0.039,0.074
FAVITES_output_logSI_contemp_T200_N100_E1_59,0.778,0.189,0.304
FAVITES_output_logSI_contemp_T200_N100_E1_60,0.778,0.189,0.304
FAVITES_output_logSI_contemp_T200_N100_E1_61,0.750,0.300,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_62,1.000,0.076,0.142
FAVITES_output_logSI_contemp_T200_N100_E1_63,0.630,0.030,0.057
FAVITES_output_logSI_contemp_T200_N100_E1_64,0.711,0.037,0.070
FAVITES_output_logSI_contemp_T200_N100_E1_65,0.500,0.200,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_66,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_67,0.667,0.078,0.140
FAVITES_output_logSI_contemp_T200_N100_E1_68,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_69,0.857,0.115,0.202
FAVITES_output_logSI_contemp_T200_N100_E1_70,0.250,0.143,0.182
FAVITES_output_logSI_contemp_T200_N100_E1_71,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_72,0.867,0.108,0.193
FAVITES_output_logSI_contemp_T200_N100_E1_73,0.765,0.052,0.097
FAVITES_output_logSI_contemp_T200_N100_E1_74,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_75,0.818,0.038,0.073
FAVITES_output_logSI_contemp_T200_N100_E1_76,0.842,0.048,0.091
FAVITES_output_logSI_contemp_T200_N100_E1_77,0.824,0.255,0.389
FAVITES_output_logSI_contemp_T200_N100_E1_78,0.250,0.100,0.143
FAVITES_output_logSI_contemp_T200_N100_E1_79,0.000,0.000,0.000
