sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_1,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_2,0.158,0.158,0.158
FAVITES_output_logSI_contemp_T200_N100_E1_3,0.273,0.273,0.273
FAVITES_output_logSI_contemp_T200_N100_E1_6,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_8,0.222,0.222,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_9,0.625,0.625,0.625
FAVITES_output_logSI_contemp_T200_N100_E1_10,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_11,0.438,0.438,0.438
FAVITES_output_logSI_contemp_T200_N100_E1_12,0.176,0.176,0.176
FAVITES_output_logSI_contemp_T200_N100_E1_13,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_14,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_15,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_16,0.231,0.231,0.231
FAVITES_output_logSI_contemp_T200_N100_E1_18,0.625,0.625,0.625
FAVITES_output_logSI_contemp_T200_N100_E1_19,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_20,0.304,0.304,0.304
FAVITES_output_logSI_contemp_T200_N100_E1_21,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_23,0.550,0.550,0.550
FAVITES_output_logSI_contemp_T200_N100_E1_27,0.241,0.241,0.241
FAVITES_output_logSI_contemp_T200_N100_E1_29,0.273,0.273,0.273
FAVITES_output_logSI_contemp_T200_N100_E1_31,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_32,0.750,0.750,0.750
FAVITES_output_logSI_contemp_T200_N100_E1_33,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_36,0.276,0.276,0.276
FAVITES_output_logSI_contemp_T200_N100_E1_38,0.714,0.714,0.714
FAVITES_output_logSI_contemp_T200_N100_E1_39,0.385,0.385,0.385
FAVITES_output_logSI_contemp_T200_N100_E1_40,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_41,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_43,0.231,0.231,0.231
FAVITES_output_logSI_contemp_T200_N100_E1_44,0.261,0.261,0.261
FAVITES_output_logSI_contemp_T200_N100_E1_45,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_46,0.059,0.059,0.059
FAVITES_output_logSI_contemp_T200_N100_E1_47,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_48,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_49,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_52,0.357,0.357,0.357
FAVITES_output_logSI_contemp_T200_N100_E1_53,0.368,0.368,0.368
FAVITES_output_logSI_contemp_T200_N100_E1_55,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_56,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_57,0.346,0.346,0.346
