sample_name,sensitivity,specificity,f1
FAVITES_output_expSI_contemp_T200_N100_E1_243,0.200,0.167,0.182
FAVITES_output_expSI_contemp_T200_N100_E1_173,0.167,0.500,0.250
FAVITES_output_expSI_contemp_T200_N100_E1_63,0.273,0.250,0.261
FAVITES_output_expSI_contemp_T200_N100_E1_171,0.200,0.167,0.182
FAVITES_output_expSI_contemp_T200_N100_E1_454,0.300,0.333,0.316
FAVITES_output_expSI_contemp_T200_N100_E1_325,0.200,0.188,0.194
FAVITES_output_expSI_contemp_T200_N100_E1_260,0.600,0.750,0.667
FAVITES_output_expSI_contemp_T200_N100_E1_290,0.500,0.500,0.500
FAVITES_output_expSI_contemp_T200_N100_E1_255,0.250,0.304,0.275
FAVITES_output_expSI_contemp_T200_N100_E1_390,0.364,0.571,0.444
FAVITES_output_expSI_contemp_T200_N100_E1_297,0.091,0.100,0.095
FAVITES_output_expSI_contemp_T200_N100_E1_351,0.600,0.600,0.600
FAVITES_output_expSI_contemp_T200_N100_E1_266,0.429,0.429,0.429
FAVITES_output_expSI_contemp_T200_N100_E1_464,0.250,0.250,0.250
FAVITES_output_expSI_contemp_T200_N100_E1_261,0.214,0.240,0.226
FAVITES_output_expSI_contemp_T200_N100_E1_8,0.167,0.333,0.222
FAVITES_output_expSI_contemp_T200_N100_E1_429,0.750,0.750,0.750
FAVITES_output_expSI_contemp_T200_N100_E1_34,0.312,0.357,0.333
FAVITES_output_expSI_contemp_T200_N100_E1_189,0.333,0.300,0.316
FAVITES_output_expSI_contemp_T200_N100_E1_495,0.250,1.000,0.400
FAVITES_output_expSI_contemp_T200_N100_E1_111,0.200,0.167,0.182
FAVITES_output_expSI_contemp_T200_N100_E1_477,0.444,0.500,0.471
FAVITES_output_expSI_contemp_T200_N100_E1_487,0.083,0.083,0.083
FAVITES_output_expSI_contemp_T200_N100_E1_412,0.167,0.500,0.250
FAVITES_output_expSI_contemp_T200_N100_E1_42,0.286,0.286,0.286
FAVITES_output_expSI_contemp_T200_N100_E1_440,0.304,0.500,0.378
FAVITES_output_expSI_contemp_T200_N100_E1_413,0.000,0.000,0.000
FAVITES_output_expSI_contemp_T200_N100_E1_207,0.500,0.400,0.444
FAVITES_output_expSI_contemp_T200_N100_E1_399,0.250,0.333,0.286
FAVITES_output_expSI_contemp_T200_N100_E1_265,0.333,0.286,0.308
FAVITES_output_expSI_contemp_T200_N100_E1_422,0.500,0.500,0.500
FAVITES_output_expSI_contemp_T200_N100_E1_23,0.500,0.400,0.444
FAVITES_output_expSI_contemp_T200_N100_E1_11,0.304,0.333,0.318
FAVITES_output_expSI_contemp_T200_N100_E1_100,0.400,0.400,0.400
FAVITES_output_expSI_contemp_T200_N100_E1_367,0.192,0.227,0.208
FAVITES_output_expSI_contemp_T200_N100_E1_51,0.500,0.500,0.500
FAVITES_output_expSI_contemp_T200_N100_E1_344,0.667,0.571,0.615
FAVITES_output_expSI_contemp_T200_N100_E1_386,0.250,0.250,0.250
FAVITES_output_expSI_contemp_T200_N100_E1_13,0.286,0.286,0.286
FAVITES_output_expSI_contemp_T200_N100_E1_73,0.500,0.400,0.444
FAVITES_output_expSI_contemp_T200_N100_E1_79,0.182,0.200,0.190
FAVITES_output_expSI_contemp_T200_N100_E1_95,0.333,0.333,0.333
FAVITES_output_expSI_contemp_T200_N100_E1_465,0.143,0.200,0.167
FAVITES_output_expSI_contemp_T200_N100_E1_258,0.250,0.273,0.261
FAVITES_output_expSI_contemp_T200_N100_E1_433,0.250,0.500,0.333
FAVITES_output_expSI_contemp_T200_N100_E1_30,0.000,0.000,0.000
FAVITES_output_expSI_contemp_T200_N100_E1_47,0.400,0.444,0.421
FAVITES_output_expSI_contemp_T200_N100_E1_213,0.312,0.333,0.323
FAVITES_output_expSI_contemp_T200_N100_E1_18,0.250,1.000,0.400
FAVITES_output_expSI_contemp_T200_N100_E1_435,0.750,0.600,0.667
FAVITES_output_expSI_contemp_T200_N100_E1_131,0.300,0.300,0.300
FAVITES_output_expSI_contemp_T200_N100_E1_357,0.273,0.375,0.316
FAVITES_output_expSI_contemp_T200_N100_E1_58,0.133,0.222,0.167
FAVITES_output_expSI_contemp_T200_N100_E1_374,0.250,0.500,0.333
FAVITES_output_expSI_contemp_T200_N100_E1_373,0.400,0.333,0.364
FAVITES_output_expSI_contemp_T200_N100_E1_361,0.400,0.500,0.444
FAVITES_output_expSI_contemp_T200_N100_E1_417,0.385,0.455,0.417
